id,gtfs_stop_id,name,lat,lon,type,type_plk,type_topologiczny,degree,voivodeship,plk_lines,daily_trains,daily_trains_scope,has_platform,platform_manager,plk_wyrozniki,platforms,tracks,platform_len_max_m,platforms_est,tracks_est,selection_rules,coord_source,coord_confidence,type_source,platforms_source,platforms_confidence
CZE,62653,Częstochowa,50.808548,19.121357,stacja,ST,przelotowa,2,śląskie,1;700;701;703,102,"tylko Koleje Śląskie, wtorek",TAK,,ST,5,8,564.0,2,4,R3_zwrotna;R5_miasto,gtfs_koleje_slaskie/stops.txt,measured,PLK_zal_2.6,PLK_zal_2.18,measured
DZI,72025,Działoszyn,51.11762,18.91327,stacja,ST,graniczna,1,poza woj. (punkt graniczny),131,14,"tylko Koleje Śląskie, wtorek",TAK,,ST,2,2,301.0,1,3,R4_graniczna,gtfs_koleje_slaskie/stops.txt,measured,PLK_zal_2.6,PLK_zal_2.18,measured
DA2,74583,Dąbrowa Górnicza,50.330185,19.185402,stacja,ST,przelotowa,2,śląskie,1,74,"tylko Koleje Śląskie, wtorek",TAK,,ST,2,3,300.0,2,4,R3_zwrotna;R5_miasto,gtfs_koleje_slaskie/stops.txt,measured,PLK_zal_2.6,PLK_zal_2.18,measured
DAG,74500,Dąbrowa Górnicza Ząbkowice,50.36687,19.264938,stacja,ST,węzeł,4,śląskie,1;133;160;183;186,80,"tylko Koleje Śląskie, wtorek",TAK,,ST,3,5,279.0,2,4,R1_wezel;R3_zwrotna,gtfs_koleje_slaskie/stops.txt,measured,PLK_zal_2.6,PLK_zal_2.18,measured
GLI,69708,Gliwice,50.300957,18.676891,stacja,ST,węzeł,3,śląskie,137;141;147;168;200;671;711,130,"tylko Koleje Śląskie, wtorek",TAK,,ST,4,8,373.0,2,4,R1_wezel;R3_zwrotna;R5_miasto,gtfs_koleje_slaskie/stops.txt,measured,PLK_zal_2.6,PLK_zal_2.18,measured
GOC,75952,Goczałkowice-Zdrój,49.935333,18.977055,przystanek osobowy publiczny,PO,węzeł,3,śląskie,139,43,"tylko Koleje Śląskie, wtorek",TAK,,PO,2,2,200.0,2,3,R1_wezel,gtfs_koleje_slaskie/stops.txt,measured,PLK_zal_2.6,PLK_zal_2.18,measured
GOL,76901,Goleszów,49.746777,18.749159,stacja,ST,węzeł,3,śląskie,190;191,44,"tylko Koleje Śląskie, wtorek",TAK,,ST,2,4,230.0,2,3,R1_wezel;R3_zwrotna,gtfs_koleje_slaskie/stops.txt,measured,PLK_zal_2.6,PLK_zal_2.18,measured
JA2,73908,Jaworzno Szczakowa,50.246464,19.296741,stacja,ST,węzeł,3,śląskie,133;134;156;666;668;669;670;714;715,16,"tylko Koleje Śląskie, wtorek",TAK,,ST,2,4,400.0,2,3,R1_wezel;R5_miasto,gtfs_koleje_slaskie/stops.txt,measured,PLK_zal_2.6,PLK_zal_2.18,measured
KA2,72108,Kalety,50.56582,18.888542,stacja,ST,węzeł,3,śląskie,130;131;143,54,"tylko Koleje Śląskie, wtorek",TAK,,ST,2,3,250.0,2,3,R1_wezel,gtfs_koleje_slaskie/stops.txt,measured,PLK_zal_2.6,PLK_zal_2.18,measured
KAT,73312,Katowice,50.25785,19.017132,stacja,ST,węzeł,3,śląskie,1;137;138;139;656;713,180,"tylko Koleje Śląskie, wtorek",TAK,,ST,3,6,360.0,3,4,R1_wezel;R3_zwrotna;R5_miasto,gtfs_koleje_slaskie/stops.txt,measured,PLK_zal_2.6,PLK_zal_2.18,measured
KAL,72900,Katowice Ligota,50.225918,18.977833,stacja,ST,przelotowa,2,śląskie,139;140;141;142;864,86,"tylko Koleje Śląskie, wtorek",TAK,,ST,3,6,251.0,2,4,R3_zwrotna,gtfs_koleje_slaskie/stops.txt,measured,PLK_zal_2.6,PLK_zal_2.18,measured
KAP,72967,Katowice Piotrowice,50.213337,18.970453,przystanek osobowy publiczny,PO,węzeł,3,śląskie,139;140,95,"tylko Koleje Śląskie, wtorek",TAK,,PO,3,3,239.0,2,4,R1_wezel;R3_zwrotna,gtfs_koleje_slaskie/stops.txt,measured,PLK_zal_2.6,PLK_zal_2.18,measured
KAS,73650,Katowice Szopienice Południowe,50.258842,19.091688,posterunek odgałęźny,PODG,węzeł,3,śląskie,1;138;660,84,"tylko Koleje Śląskie, wtorek",TAK,,PO;PODG,2,4,200.0,2,4,R1_wezel,gtfs_koleje_slaskie/stops.txt,measured,PLK_zal_2.6,PLK_zal_2.18,measured
KET,76232,Kęty,49.880672,19.225807,stacja,ST,graniczna,1,poza woj. (punkt graniczny),117,0,"tylko Koleje Śląskie, wtorek",TAK,,ST,1,2,200.0,1,2,R4_graniczna,gtfs_koleje_slaskie/stops.txt,measured,PLK_zal_2.6,PLK_zal_2.18,measured
KOB,71944,Kłobuck,50.908463,18.923552,stacja,ST,przelotowa,2,śląskie,131,16,"tylko Koleje Śląskie, wtorek",TAK,,ST,2,2,301.0,2,3,R3_zwrotna,gtfs_koleje_slaskie/stops.txt,measured,PLK_zal_2.6,PLK_zal_2.18,measured
LES,68064,Leszczyny,50.139557,18.617472,stacja,ST,węzeł,3,śląskie,140;149,64,"tylko Koleje Śląskie, wtorek",TAK,,ST,1,2,211.0,2,3,R1_wezel,gtfs_koleje_slaskie/stops.txt,measured,PLK_zal_2.6,PLK_zal_2.18,measured
LUB,71407,Lubliniec,50.672432,18.691446,stacja,ST,przelotowa,2,śląskie,143;152;61,56,"tylko Koleje Śląskie, wtorek",TAK,,ST,2,4,300.0,2,3,R3_zwrotna,gtfs_koleje_slaskie/stops.txt,measured,PLK_zal_2.6,PLK_zal_2.18,measured
MIK,69062,Mikołów,50.17288,18.899258,stacja,ST,przelotowa,2,śląskie,140,43,"tylko Koleje Śląskie, wtorek",TAK,,ST,2,3,150.0,2,3,R3_zwrotna,gtfs_koleje_slaskie/stops.txt,measured,PLK_zal_2.6,PLK_zal_2.18,measured
MYS,73502,Mysłowice,50.237465,19.141726,stacja,ST,węzeł,4,śląskie,134;138;655,43,"tylko Koleje Śląskie, wtorek",TAK,,ST,3,5,300.0,2,3,R1_wezel;R3_zwrotna;R5_miasto,gtfs_koleje_slaskie/stops.txt,measured,PLK_zal_2.6,PLK_zal_2.18,measured
ORJ,68148,Orzesze Jaśkowice,50.144848,18.740936,stacja,ST,węzeł,3,śląskie,140;169,66,"tylko Koleje Śląskie, wtorek",TAK,,ST,2,4,220.0,2,3,R1_wezel;R3_zwrotna,gtfs_koleje_slaskie/stops.txt,measured,PLK_zal_2.6,PLK_zal_2.18,measured
OSW,77107,Oświęcim,50.041603,19.200062,stacja,ST,graniczna,2,poza woj. (punkt graniczny),138;699;882;93;94,34,"tylko Koleje Śląskie, wtorek",TAK,,ST,4,7,400.0,2,3,R4_graniczna,gtfs_koleje_slaskie/stops.txt,measured,PLK_zal_2.6,PLK_zal_2.18,measured
PI2,75762,Pierściec,49.83056,18.81342,stacja,ST,przelotowa,2,śląskie,157,20,"tylko Koleje Śląskie, wtorek",TAK,,ST,1,2,150.0,2,3,R3_zwrotna,gtfs_koleje_slaskie/stops.txt,measured,PLK_zal_2.6,PLK_zal_2.18,measured
POR,178588,Poręba,50.483883,19.332548,mijanka i przystanek osobowy,MPO,węzeł,3,śląskie,182,24,"tylko Koleje Śląskie, wtorek",TAK,,MPO,1,2,150.0,2,3,R1_wezel,gtfs_koleje_slaskie/stops.txt,measured,PLK_zal_2.6,PLK_zal_2.18,measured
PSZ,75903,Pszczyna,49.975582,18.953398,stacja,ST,węzeł,3,śląskie,139;148,47,"tylko Koleje Śląskie, wtorek",TAK,,ST,2,3,307.0,2,3,R1_wezel,gtfs_koleje_slaskie/stops.txt,measured,PLK_zal_2.6,PLK_zal_2.18,measured
RAC,68700,Racibórz,50.090294,18.226595,stacja,ST,przelotowa,2,śląskie,151;177,60,"tylko Koleje Śląskie, wtorek",TAK,,ST,3,5,267.0,2,3,R3_zwrotna,gtfs_koleje_slaskie/stops.txt,measured,PLK_zal_2.6,PLK_zal_2.18,measured
RUS,69849,Ruda Śląska,50.315914,18.850834,przystanek osobowy publiczny,PO,przelotowa,2,śląskie,137,76,"tylko Koleje Śląskie, wtorek",TAK,,PO,1,2,200.0,2,4,R5_miasto,gtfs_koleje_slaskie/stops.txt,measured,PLK_zal_2.6,PLK_zal_2.18,measured
RU2,67942,Rudyszwałd,49.939697,18.303295,przystanek osobowy publiczny,PO,węzeł,3,śląskie,151;158,46,"tylko Koleje Śląskie, wtorek",TAK,,PO,3,3,150.0,2,3,R1_wezel,gtfs_koleje_slaskie/stops.txt,measured,PLK_zal_2.6,PLK_zal_2.18,measured
RYB,68205,Rybnik,50.088924,18.547441,stacja,ST,węzeł,3,śląskie,140;148;173;688;957,89,"tylko Koleje Śląskie, wtorek",TAK,,ST,3,5,340.0,2,4,R1_wezel;R3_zwrotna;R5_miasto,gtfs_koleje_slaskie/stops.txt,measured,PLK_zal_2.6,PLK_zal_2.18,measured
RYT,68007,Rybnik Towarowy,50.06658,18.51534,stacja,ST,węzeł,3,śląskie,140;158;688;862;957;958;959,72,"tylko Koleje Śląskie, wtorek",TAK,,ST,2,3,200.0,2,4,R1_wezel,gtfs_koleje_slaskie/stops.txt,measured,PLK_zal_2.6,PLK_zal_2.18,measured
SKS,190033,Skalite Serafinov,49.501614,18.964785,przystanek osobowy publiczny,PO,graniczna,1,poza woj. (punkt graniczny),489,20,"tylko Koleje Śląskie, wtorek",NIE,,PO,2,3,,2,3,R4_graniczna,gtfs_koleje_slaskie/stops.txt,measured,PLK_zal_2.6,szacowana (spoza sieci PLK),derived
SKO,75788,Skoczów,49.79355,18.790192,stacja,ST,przelotowa,2,śląskie,157;190,24,"tylko Koleje Śląskie, wtorek",TAK,,ST,2,3,201.0,2,3,R3_zwrotna,gtfs_koleje_slaskie/stops.txt,measured,PLK_zal_2.6,PLK_zal_2.18,measured
SOG,74658,Sosnowiec Główny,50.278786,19.126204,stacja,ST,przelotowa,2,śląskie,1;62;659;660,73,"tylko Koleje Śląskie, wtorek",TAK,,ST,1,2,400.0,2,4,R5_miasto,gtfs_koleje_slaskie/stops.txt,measured,PLK_zal_2.6,PLK_zal_2.18,measured
TAG,71001,Tarnowskie Góry,50.446827,18.865116,stacja,ST,węzeł,3,śląskie,127;129;130;131;144;182;856;892;950;951;954;979,79,"tylko Koleje Śląskie, wtorek",TAK,,ST,2,4,300.0,2,4,R1_wezel;R3_zwrotna,gtfs_koleje_slaskie/stops.txt,measured,PLK_zal_2.6,PLK_zal_2.18,measured
TYC,73700,Tychy,50.136185,18.964157,stacja,ST,węzeł,4,śląskie,139;142;169;179,141,"tylko Koleje Śląskie, wtorek",TAK,,ST,3,6,237.0,3,4,R1_wezel;R3_zwrotna;R5_miasto,gtfs_koleje_slaskie/stops.txt,measured,PLK_zal_2.6,PLK_zal_2.18,measured
TYL,242839,Tychy Lodowisko,50.10768,19.000523,przystanek osobowy publiczny,PO,końcowa,1,śląskie,696,64,"tylko Koleje Śląskie, wtorek",TAK,UM Tychy,PO,1,1,220.0,2,3,R2_koncowa;R3_zwrotna,gtfs_koleje_slaskie/stops.txt,measured,PLK_zal_2.6,PLK_zal_2.18,measured
WIG,77040,Wisła Głębce,49.621803,18.875376,stacja,ST,końcowa,1,śląskie,191,18,"tylko Koleje Śląskie, wtorek",TAK,,ST,3,4,185.0,2,3,R2_koncowa;R3_zwrotna,gtfs_koleje_slaskie/stops.txt,measured,PLK_zal_2.6,PLK_zal_2.18,measured
WOS,68403,Wodzisław Śląski,50.00784,18.476183,stacja,ST,przelotowa,2,śląskie,158;876,38,"tylko Koleje Śląskie, wtorek",TAK,,ST,2,3,200.0,2,3,R3_zwrotna,gtfs_koleje_slaskie/stops.txt,measured,PLK_zal_2.6,PLK_zal_2.18,measured
WEG,76737,Węgierska Górka,49.60341,19.11787,stacja,ST,przelotowa,2,śląskie,139,28,"tylko Koleje Śląskie, wtorek",TAK,,ST,1,2,200.0,2,3,R3_zwrotna,gtfs_koleje_slaskie/stops.txt,measured,PLK_zal_2.6,PLK_zal_2.18,measured
ZAB,69823,Zabrze,50.305305,18.78715,stacja,ST,przelotowa,2,śląskie,137,76,"tylko Koleje Śląskie, wtorek",TAK,,ST,1,2,355.0,2,4,R5_miasto,gtfs_koleje_slaskie/stops.txt,measured,PLK_zal_2.6,PLK_zal_2.18,measured
ZA2,75739,Zabrzeg,49.907684,18.939075,przystanek osobowy publiczny,PO,węzeł,4,śląskie,150;93,30,"tylko Koleje Śląskie, wtorek",TAK,,PO,2,2,200.0,2,3,R1_wezel,gtfs_koleje_slaskie/stops.txt,measured,PLK_zal_2.6,PLK_zal_2.18,measured
ZAW,75309,Zawiercie,50.481148,19.423216,stacja,ST,węzeł,3,śląskie,1;160;182;186;4;705,94,"tylko Koleje Śląskie, wtorek",TAK,,ST,3,5,402.0,2,4,R1_wezel;R3_zwrotna,gtfs_koleje_slaskie/stops.txt,measured,PLK_zal_2.6,PLK_zal_2.18,measured
ZWA,76869,Zwardoń,49.504494,18.977837,stacja,ST,przelotowa,2,śląskie,139,48,"tylko Koleje Śląskie, wtorek",TAK,,ST,2,3,206.0,2,3,R3_zwrotna,gtfs_koleje_slaskie/stops.txt,measured,PLK_zal_2.6,PLK_zal_2.18,measured
AZY,75200,Łazy,50.43009,19.39202,stacja,ST,węzeł,3,śląskie,1;154;160;186,70,"tylko Koleje Śląskie, wtorek",TAK,,ST,2,4,200.0,2,4,R1_wezel;R3_zwrotna,gtfs_koleje_slaskie/stops.txt,measured,PLK_zal_2.6,PLK_zal_2.18,measured
ODY,76422,Łodygowice,49.72534,19.141006,stacja,ST,przelotowa,2,śląskie,139,45,"tylko Koleje Śląskie, wtorek",TAK,,ST,1,2,260.0,2,3,R3_zwrotna,gtfs_koleje_slaskie/stops.txt,measured,PLK_zal_2.6,PLK_zal_2.18,measured
SWI,73148,Świętochłowice,50.28906,18.9182,przystanek osobowy publiczny,PO,przelotowa,2,śląskie,137,76,"tylko Koleje Śląskie, wtorek",TAK,,PO,1,2,255.0,2,4,R5_miasto,gtfs_koleje_slaskie/stops.txt,measured,PLK_zal_2.6,PLK_zal_2.18,measured
ZOR,69203,Żory,50.05171,18.702848,stacja,ST,węzeł,3,śląskie,148;159,18,"tylko Koleje Śląskie, wtorek",TAK,,ST,2,3,300.0,2,3,R1_wezel;R3_zwrotna;R5_miasto,gtfs_koleje_slaskie/stops.txt,measured,PLK_zal_2.6,PLK_zal_2.18,measured
ZYW,76604,Żywiec,49.67983,19.18592,stacja,ST,przelotowa,2,śląskie,139;97,44,"tylko Koleje Śląskie, wtorek",TAK,,ST,3,5,255.0,2,3,R3_zwrotna,gtfs_koleje_slaskie/stops.txt,measured,PLK_zal_2.6,PLK_zal_2.18,measured
